OID_;ID;x_coord;y_coord;xy_coord;RASTERVALU;b1_ms170_1;b2_ms170_1;b3_ms170_1;b4_ms170_1;b1_ms1707s1_interp;b2_ms1707s1_interp;b3_ms1707s1_interp;b4_ms1707s1_interp,,,,,,
308;308;30,084458328899998;-22,317222217800001;30.084458328889173 -22.317222217777953;409;409;378;383;549;407,2503357;377,4993591;384,4980774;555,2445679
309;309;30,084388884399999;-22,317236106700001;30.084388884444728 -22.317236106666844;376;376;332;325;441;370,2544861;325,0051270;315,2570496;430,79956
310;310;30,084402773299999;-22,317236106700001;30.084402773333615 -22.317236106666844;370;370;325;314;433;366,5035095;321,2538452;308,2554321;426,7560730
311;311;30,084416662199999;-22,317236106700001;30.084416662222505 -22.317236106666844;375;375;331;319;444;370,2541504;326,5041504;313,5051270;440,41504
312;312;30,084430551099999;-22,317236106700001;30.084430551111396 -22.317236106666844;385;385;344;335;471;382,0006409;342,0000000;333,9990540;474,7455139
313;313;30,084444439999999;-22,317236106700001;30.084444440000283 -22.317236106666844;398;398;362;360;512;396,5000000;361,7487183;361,2477722;518,7435913
314;314;30,084458328899998;-22,317236106700001;30.084458328889173 -22.317236106666844;407;407;375;380;546;404,0012817;374,0000000;379,4993591;551,2451782
315;315;30,079055551100002;-22,315513884400001;30.079055551111352 -22.315513884444606;392;392;361;356;497;386,5032043;354,5038452;346,7554321;488,5047913
316;316;30,079069440000001;-22,315513884400001;30.07906944000024 -22.315513884444606;386;386;355;348;491;378,7570496;346,7579956;336,0108643;479,2615051
317;317;30,079083328900001;-22,315513884400001;30.07908332888913 -22.315513884444606;383;383;353;343;489;375,5057678;343,7570496;331,5086365;478,2586365
318;318;30,079097217800001;-22,315513884400001;30.079097217778017 -22.315513884444606;390;390;361;353;507;388,7500000;358,5003357;351,0000000;507,4977722
319;319;30,079055551100002;-22,315527773300001;30.079055551111352 -22.315527773333496;386;386;353;344;484;378,5032043;344,2538452;332,2554321;471,5054321
320;320;30,079069440000001;-22,315527773300001;30.07906944000024 -22.315527773333496;382;382;349;339;482;371,0064087;336,5073547;321,7602539;462,5115051
321;321;30,079083328900001;-22,315527773300001;30.07908332888913 -22.315527773333496;364;364;330;314;455;362,7512817;328,0015869;310,7525635;453,5012817
322;322;30,079097217800001;-22,315527773300001;30.079097217778017 -22.315527773333496;365;365;331;316;462;372,9961548;339,9958496;326,7448730;478,7416687
323;323;30,079055551100002;-22,315541662200001;30.079055551111352 -22.315541662222387;370;370;334;319;453;365,0009766;327,7515869;310,5025635;444,22278
324;324;30,079069440000001;-22,315541662200001;30.07906944000024 -22.315541662222387;376;376;341;327;467;368,0028687;331,5035095;313,7554321;452,57678
325;325;30,079083328900001;-22,315541662200001;30.07908332888913 -22.315541662222387;362;362;326;307;446;363,7487183;327,4990540;308,2490540;449,9974365
326;326;30,079097217800001;-22,315541662200001;30.079097217778017 -22.315541662222387;360;360;325;306;451;367,7474365;332,4977722;316,2464905;464,9948730
327;327;30,079055551100002;-22,315555551100001;30.079055551111352 -22.315555551111274;347;347;307;285;410;351,4980774;310,9984131;288,4990540;415,4980774
328;328;30,079069440000001;-22,315555551100001;30.07906944000024 -22.315555551111274;367;367;329;311;446;359,5051270;320,5057678;298,2586365;431,7596130
329;329;30,079083328900001;-22,315555551100001;30.07908332888913 -22.315555551111274;367;367;330;310;449;359,0047913;320,7554321;298,0070496;436,2573547
330;330;30,079097217800001;-22,315555551100001;30.079097217778017 -22.315555551111274;366;366;329;310;454;362,0012817;324,7512817;305,2512817;450,3357
331;331;30,079055551100002;-22,315569440000001;30.079055551111352 -22.315569440000164;339;339;296;270;390;342,9980774;300,2480774;273,4987183;395,7474365
332;332;30,079069440000001;-22,315569440000001;30.07906944000024 -22.315569440000164;353;353;312;288;416;347,0044861;305,2551270;277,5076904;405,2579956
333;333;30,079083328900001;-22,315569440000001;30.07908332888913 -22.315569440000164;351;351;311;284;416;345,7532043;304,7538452;276,2547913;408,5047913
334;334;30,079097217800001;-22,315569440000001;30.079097217778017 -22.315569440000164;352;352;313;288;426;352,2493591;312,9993591;288,9984131;428,4974365
335;335;30,079055551100002;-22,315583328900001;30.079055551111352 -22.31558332888905;335;335;291;262;379;340,7445679;297,2439270;268,4932861;388,7407227
336;336;30,079069440000001;-22,315583328900001;30.07906944000024 -22.31558332888905;345;345;302;274;398;344,7506409;302,0006409;272,7512817;398,2506409
337;337;30,079083328900001;-22,315583328900001;30.07908332888913 -22.31558332888905;339;339;296;264;391;339,7509460;297,2506409;266,7500000;395,2493591
338;338;30,079097217800001;-22,315583328900001;30.079097217778017 -22.31558332888905;341;341;299;269;401;342,7503052;301,9996643;275,7474365;409,9964905
339;339;30,071124995600002;-22,323652773300001;30.07112499555573 -22.32365277333356;362;362;326;304;532;365,2477722;330,7467957;309,2464905;538,2458496
340;340;30,071138884400000;-22,323652773300001;30.071138884444622 -22.32365277333356;364;364;328;307;536;368,7471313;335,2455139;315,2448730;543,4955444
341;341;30,071152773300000;-22,323652773300001;30.07115277333351 -22.32365277333356;369;369;335;316;543;376,9952087;345,9932861;329,4916687;554,4932861
342;342;30,071166662200000;-22,323652773300001;30.0711666622224 -22.32365277333356;382;382;351;337;561;390,9948730;363,2426453;351,7410278;573,4929810
343;343;30,071124995600002;-22,323666662200001;30.07112499555573 -22.32366666222245;366;366;333;311;540;367,4990540;335,7480774;313,9977722;542,9977417
344;344;30,071138884400000;-22,323666662200001;30.071138884444622 -22.32366666222245;369;369;336;315;545;371,7477722;341,2461548;321,4952087;549,4964600
345;345;30,071152773300000;-22,323666662200001;30.07115277333351 -22.32366666222245;373;373;342;323;550;379,9955139;351,9935913;335,7420044;559,4942627
346;346;30,071166662200000;-22,323666662200001;30.0711666622224 -22.32366666222245;384;384;356;342;564;390,7467957;365,9948730;354,4932861;572,7461548
347;347;30,071124995600002;-22,323680551100001;30.07112499555573 -22.32368055111134;366;366;335;312;540;362,2522278;332,2515869;308,2522278;535,2528687
348;348;30,071138884400000;-22,323680551100001;30.071138884444622 -22.32368055111134;369;369;339;318;547;369,7480774;341,7464905;320,9958496;547,2474365
349;349;30,071152773300000;-22,323680551100001;30.07115277333351 -22.32368055111134;376;376;348;330;556;380,9967957;355,9948730;339,9932861;561,7461548
350;350;30,071166662200000;-22,323680551100001;30.0711666622224 -22.32368055111134;387;387;362;348;568;389,4987183;367,4967957;355,9955139;570,2496948
351;351;30,071124995600002;-22,323694440000001;30.07112499555573 -22.323694440000228;355;355;325;298;523;344,7570496;315,7564087;288,5064087;503,7631226
352;352;30,071138884400000;-22,323694440000001;30.071138884444622 -22.323694440000228;359;359;330;305;531;355,5012817;328,9996948;306,2480774;521,48218
353;353;30,071152773300000;-22,323694440000001;30.07115277333351 -22.323694440000228;375;375;350;331;555;372,9996948;350,2480774;334,4955139;545,7535400
354;354;30,071166662200000;-22,323694440000001;30.0711666622224 -22.323694440000228;386;386;364;351;568;386,4977722;367,4955139;357,9926453;562,3052
355;355;30,070986106700001;-22,323666662200001;30.070986106666844 -22.32366666222245;353;353;323;296;471;357,7474365;328,9967957;301,9967957;485,4916687
356;356;30,070999995600001;-22,323666662200001;30.07099999555573 -22.32366666222245;358;358;329;303;489;355,5022278;326,2522278;299,2532043;490,7500000
357;357;30,071013884399999;-22,323666662200001;30.07101388444462 -22.32366666222245;352;352;321;295;488;348,2532043;317,7532043;289,5047913;487,7515869
358;358;30,071027773299999;-22,323666662200001;30.07102777333351 -22.32366666222245;348;348;317;290;491;344,5032043;313,2535095;284,0051270;489,32043
359;359;30,071041662199999;-22,323666662200001;30.0710416622224 -22.32366666222245;350;350;319;292;501;354,9971313;323,7471313;296,9971313;510,4942322
360;360;30,071055551099999;-22,323666662200001;30.071055551111286 -22.32366666222245;373;373;342;321;541;374,4990540;343,4990540;321,2496948;544,7474365
361;361;30,070986106700001;-22,323680551100001;30.070986106666844 -22.32368055111134;359;359;331;303;485;355,0047913;327,5047913;296,7570496;484,5041504
362;362;30,070999995600001;-22,323680551100001;30.07099999555573 -22.32368055111134;361;361;333;306;497;348,2576904;319,2586365;287,7612000;481,2596130
363;363;30,071013884399999;-22,323680551100001;30.07101388444462 -22.32368055111134;351;351;322;293;489;341,0054321;310,2564087;277,5086365;477,2560730
364;364;30,071027773299999;-22,323680551100001;30.07102777333351 -22.32368055111134;342;342;311;280;483;337,2522278;305,5025635;272,0038452;477,7519226
365;365;30,071041662199999;-22,323680551100001;30.0710416622224 -22.32368055111134;338;338;306;274;481;345,2464905;313,4964905;282,2461548;494,7432861
366;366;30,071055551099999;-22,323680551100001;30.071055551111286 -22.32368055111134;359;359;328;301;519;360,2506409;328,7509460;301,0019226;521,7506104
367;367;30,070986106700001;-22,323694440000001;30.070986106666844 -22.323694440000228;356;356;330;297;484;344,7583313;317,5092773;283,2602234;470,108643
368;368;30,070999995600001;-22,323694440000001;30.07099999555573 -22.323694440000228;344;344;316;281;472;334,5054321;305,0060730;269,5064087;460,2564087
369;369;30,071013884399999;-22,323694440000001;30.07101388444462 -22.323694440000228;337;337;306;271;467;332,0022278;301,0022278;265,7519226;463,12817
370;370;30,071027773299999;-22,323694440000001;30.07102777333351 -22.323694440000228;334;334;302;266;470;333,4996948;301,9993591;267,7480774;471,4980774
371;371;30,071041662199999;-22,323694440000001;30.0710416622224 -22.323694440000228;335;335;303;268;477;339,7484131;308,2480774;275,7471313;484,9974365
372;372;30,071055551099999;-22,323694440000001;30.071055551111286 -22.323694440000228;349;349;317;286;502;346,7525635;315,0025635;283,7528687;497,7547913
373;373;30,070986106700001;-22,323708328900000;30.070986106666844 -22.32370832888912;349;349;323;290;474;335,7567139;308,0076904;275,2570496;455,2592773
374;374;30,070999995600001;-22,323708328900000;30.07099999555573 -22.32370832888912;330;330;301;265;450;328,9996948;299,7496948;266,7474365;450,9977722
375;375;30,071013884399999;-22,323708328900000;30.07101388444462 -22.32370832888912;327;327;297;261;452;330,7474365;300,9971313;269,2445679;460,2445679
376;376;30,071027773299999;-22,323708328900000;30.07102777333351 -22.32370832888912;330;330;299;265;463;334,2477722;304,2471313;274,2445679;470,9958496
